from,to,ndvi_mean,ndwi_mean,year,month,quarter,week,year_month,month_week
2020-04-05 00:00:00+00:00,2020-04-10 00:00:00+00:00,0.19818134769251047,-0.3033637751312551,2020,4,2,1,2020-04,4-1
2020-04-10 00:00:00+00:00,2020-04-15 00:00:00+00:00,0.06798249830404737,-0.07497612871241159,2020,4,2,2,2020-04,4-2
2020-04-15 00:00:00+00:00,2020-04-20 00:00:00+00:00,0.11878801795172594,-0.16349091697313134,2020,4,2,3,2020-04,4-3
2020-04-20 00:00:00+00:00,2020-04-25 00:00:00+00:00,0.16405899676793198,-0.22903731932391572,2020,4,2,4,2020-04,4-4
2020-04-25 00:00:00+00:00,2020-04-30 00:00:00+00:00,0.17397924796493947,-0.25130600864750247,2020,4,2,4,2020-04,4-4
2020-04-30 00:00:00+00:00,2020-05-05 00:00:00+00:00,0.08920260716879806,-0.1124037946372377,2020,4,2,5,2020-04,4-5
2020-05-05 00:00:00+00:00,2020-05-10 00:00:00+00:00,0.09754895316188993,-0.13114283697049542,2020,5,2,1,2020-05,5-1
2020-05-10 00:00:00+00:00,2020-05-15 00:00:00+00:00,0.1891878954860736,-0.2575201456899507,2020,5,2,1,2020-05,5-1
2020-05-15 00:00:00+00:00,2020-05-20 00:00:00+00:00,0.2044368393310786,-0.298197526054638,2020,5,2,2,2020-05,5-2
2020-05-20 00:00:00+00:00,2020-05-25 00:00:00+00:00,0.10851251582908045,-0.14683420234280392,2020,5,2,3,2020-05,5-3
2020-05-25 00:00:00+00:00,2020-05-30 00:00:00+00:00,0.1566340444038654,-0.1957512496243013,2020,5,2,4,2020-05,5-4
2020-05-30 00:00:00+00:00,2020-06-04 00:00:00+00:00,0.18495809702500504,-0.23329166400330048,2020,5,2,4,2020-05,5-4
2020-06-04 00:00:00+00:00,2020-06-09 00:00:00+00:00,0.24274289871333646,-0.2817873339554929,2020,6,2,1,2020-06,6-1
2020-06-09 00:00:00+00:00,2020-06-14 00:00:00+00:00,0.23365153039603953,-0.2707060045947712,2020,6,2,2,2020-06,6-2
2020-06-14 00:00:00+00:00,2020-06-19 00:00:00+00:00,0.11652371649870874,-0.10118708277986897,2020,6,2,2,2020-06,6-2
2020-06-19 00:00:00+00:00,2020-06-24 00:00:00+00:00,0.3292547934669096,-0.35400479153836606,2020,6,2,3,2020-06,6-3
2020-06-24 00:00:00+00:00,2020-06-29 00:00:00+00:00,0.34866274984900364,-0.3813068906572579,2020,6,2,4,2020-06,6-4
2020-06-29 00:00:00+00:00,2020-07-04 00:00:00+00:00,0.3082955017799957,-0.3252860441951521,2020,6,2,5,2020-06,6-5
2020-07-04 00:00:00+00:00,2020-07-09 00:00:00+00:00,0.3431162599831191,-0.3485974622721199,2020,7,3,1,2020-07,7-1
2020-07-09 00:00:00+00:00,2020-07-14 00:00:00+00:00,0.2498541006200682,-0.24298387178466582,2020,7,3,2,2020-07,7-2
2020-07-14 00:00:00+00:00,2020-07-19 00:00:00+00:00,0.3379673294666685,-0.33175545896598463,2020,7,3,3,2020-07,7-3
2020-07-19 00:00:00+00:00,2020-07-24 00:00:00+00:00,0.19492129971799424,-0.16787253431428717,2020,7,3,3,2020-07,7-3
2020-07-24 00:00:00+00:00,2020-07-29 00:00:00+00:00,0.3943124773146672,-0.4025454845643063,2020,7,3,4,2020-07,7-4
2020-07-29 00:00:00+00:00,2020-08-03 00:00:00+00:00,0.09147183290308511,-0.0618995211694837,2020,7,3,5,2020-07,7-5
2020-08-03 00:00:00+00:00,2020-08-08 00:00:00+00:00,0.35377253831826294,-0.3502637070108125,2020,8,3,1,2020-08,8-1
2020-08-08 00:00:00+00:00,2020-08-13 00:00:00+00:00,0.40990836548067117,-0.3865895246505036,2020,8,3,1,2020-08,8-1
2020-08-13 00:00:00+00:00,2020-08-18 00:00:00+00:00,0.26121996882758886,-0.22488630020251887,2020,8,3,2,2020-08,8-2
2020-08-18 00:00:00+00:00,2020-08-23 00:00:00+00:00,0.34197652663864736,-0.29975453842281785,2020,8,3,3,2020-08,8-3
2020-08-23 00:00:00+00:00,2020-08-28 00:00:00+00:00,0.5343307487341079,-0.49780354430946744,2020,8,3,3,2020-08,8-3
